"transcript","gene","Gene"
"Peer2.0.1.fasta006864-RA","MED27"," Mediator of RNA polymerase II transcription subunit 27 (Mus musculus)"
"Peer2.0.1.fasta006866-RA","RAPGEF1"," Rap guanine nucleotide exchange factor 1 (Homo sapiens)"
"Peer2.0.1.fasta006865-RA","MED27"," Mediator of RNA polymerase II transcription subunit 27 (Mus musculus)"
"Peer2.0.1.fasta006870-RA","TRUB2"," Mitochondrial mRNA pseudouridine synthase Trub2 (Mus musculus)"
"Peer2.0.1.fasta006868-RA","PRRT1B"," Proline rich transmembrane protein 1B (Homo sapiens)"
"Peer2.0.1.fasta006867-RA","RAPGEF1"," Rap guanine nucleotide exchange factor 1 (Homo sapiens)"
"Peer2.0.1.fasta006871-RA","COQ4"," Ubiquinone biosynthesis protein COQ4 homolog%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta006869-RA","GOLGA2"," Golgin subfamily A member 2 (Mus musculus)"
"Peer2.0.1.fasta006874-RA","HTR4"," 5-hydroxytryptamine receptor 4 (Rattus norvegicus)"
"Peer2.0.1.fasta006872-RA","SLC27A4"," Long-chain fatty acid transport protein 4 (Mus musculus)"
"Peer2.0.1.fasta006875-RA","CERCAM"," Inactive glycosyltransferase 25 family member 3 (Mus musculus)"
"Peer2.0.1.fasta006873-RA","URM1"," Ubiquitin-related modifier 1 (Mus musculus)"
"Peer2.0.1.fasta006876-RA","ODF2"," Outer dense fiber protein 2 (Mus musculus)"
"Peer2.0.1.fasta006877-RA","GLE1"," Nucleoporin GLE1 (Mus musculus)"
"Peer2.0.1.fasta006885-RA","ZER1"," Protein zer-1 homolog (Mus musculus)"
"Peer2.0.1.fasta006886-RA","ZER1"," Protein zer-1 homolog (Mus musculus)"
"Peer2.0.1.fasta006882-RA","PKN3"," Serine/threonine-protein kinase N3 (Mus musculus)"
"Peer2.0.1.fasta006883-RA","ZDHHC12"," Probable palmitoyltransferase ZDHHC12 (Homo sapiens)"
"Peer2.0.1.fasta006884-RA","KIF2C"," Kinesin-like protein KIF2C (Homo sapiens)"
"Peer2.0.1.fasta006889-RA","SPOUT1"," Putative methyltransferase C9orf114 homolog (Mus musculus)"
"Peer2.0.1.fasta006887-RA","TBC1D13"," TBC1 domain family member 13 (Mus musculus)"
"Peer2.0.1.fasta006890-RA","KYAT1"," Kynurenine--oxoglutarate transaminase 1 (Mus musculus)"
"Peer2.0.1.fasta006888-RA","ENDOG"," Endonuclease G%2C mitochondrial (Bos taurus)"
"Peer2.0.1.fasta006892-RA","LRRC8A"," Volume-regulated anion channel subunit LRRC8A (Mus musculus)"
"Peer2.0.1.fasta006894-RA","DOLK"," Dolichol kinase (Bos taurus)"
"Peer2.0.1.fasta006893-RA","PHYHD1"," Phytanoyl-CoA dioxygenase domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta006891-RA","LRRC8A"," Volume-regulated anion channel subunit LRRC8A (Mus musculus)"
"Peer2.0.1.fasta006878-RA","SPTAN1"," Spectrin alpha chain%2C non-erythrocytic 1 (Rattus norvegicus)"
"Peer2.0.1.fasta006881-RA","SET"," Protein SET (Rattus norvegicus)"
"Peer2.0.1.fasta006879-RA","WDR34"," WD repeat-containing protein 34 (Mus musculus)"
"Peer2.0.1.fasta006880-RA","WDR34"," WD repeat-containing protein 34 (Mus musculus)"
"Peer2.0.1.fasta006896-RA","NUP188"," Nucleoporin NUP188 homolog (Mus musculus)"
"Peer2.0.1.fasta006897-RA","NUP188"," Nucleoporin NUP188 homolog (Mus musculus)"
"Peer2.0.1.fasta006898-RA","CNTRL"," Centriolin (Mus musculus)"
"Peer2.0.1.fasta006899-RA","SH3GLB2"," Endophilin-B2 (Rattus norvegicus)"
"Peer2.0.1.fasta006900-RA","MIGA2"," Mitoguardin 2 (Mus musculus)"
"Peer2.0.1.fasta006901-RA","DOLPP1"," Dolichyldiphosphatase 1 (Mus musculus)"
"Peer2.0.1.fasta006895-RA","NUP188"," Nucleoporin NUP188 homolog (Mus musculus)"
"Peer2.0.1.fasta006902-RA","CRAT"," Carnitine O-acetyltransferase (Homo sapiens)"
"Peer2.0.1.fasta006903-RA","PTPA"," Serine/threonine-protein phosphatase 2A activator (Bos taurus)"
"Peer2.0.1.fasta006904-RA","HPCAL4"," Hippocalcin-like protein 4 (Mus musculus)"
"Peer2.0.1.fasta006910-RA","NTMT1"," N-terminal Xaa-Pro-Lys N-methyltransferase 1 (Ailuropoda melanoleuca)"
"Peer2.0.1.fasta006909-RA","PRRX2"," Paired mesoderm homeobox protein 2 (Homo sapiens)"
"Peer2.0.1.fasta006911-RA","PTGES"," Prostaglandin E synthase (Mus musculus)"
"Peer2.0.1.fasta006908-RA","ASB6"," Ankyrin repeat and SOCS box protein 6 (Mus musculus)"
"Peer2.0.1.fasta006906-RA","C9ORF50"," Uncharacterized protein C9orf50 (Homo sapiens)"
"Peer2.0.1.fasta006907-RA","NTMT1"," N-terminal Xaa-Pro-Lys N-methyltransferase 1 (Ailuropoda melanoleuca)"
"Peer2.0.1.fasta006905-RA","PPIA"," Peptidyl-prolyl cis-trans isomerase A (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta006912-RA","TOR1B"," Torsin-1B (Mus musculus)"
"Peer2.0.1.fasta006918-RA","FNBP1"," Formin-binding protein 1 (Homo sapiens)"
"Peer2.0.1.fasta006919-RA","MALRD1"," MAM and LDL-receptor class A domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta006915-RA","TELOMERE LENGTH AND SILENCING PROTEIN 1 HOMOLOG (MUS MUSCULUS)",NA
"Peer2.0.1.fasta006916-RA","USP20"," Ubiquitin carboxyl-terminal hydrolase 20 (Mus musculus)"
"Peer2.0.1.fasta006913-RA","TOR1A"," Torsin-1A (Mus musculus)"
"Peer2.0.1.fasta006914-RA","TOR1A"," Torsin-1A (Mus musculus)"
"Peer2.0.1.fasta006917-RA","USP20"," Ubiquitin carboxyl-terminal hydrolase 20 (Mus musculus)"
"Peer2.0.1.fasta006920-RA","GPR107"," Protein GPR107 (Rattus norvegicus)"
"Peer2.0.1.fasta006922-RA","NCS1"," Neuronal calcium sensor 1 (Mus musculus)"
"Peer2.0.1.fasta006921-RA","NCS1"," Neuronal calcium sensor 1 (Mus musculus)"
"Peer2.0.1.fasta006923-RA","PSTPIP1"," Proline-serine-threonine phosphatase-interacting protein 1 (Mus musculus)"
"Peer2.0.1.fasta006924-RA","HMCN2"," Hemicentin-2 (Mus musculus)"
"Peer2.0.1.fasta006926-RA","ASS1"," Argininosuccinate synthase (Bos taurus)"
"Peer2.0.1.fasta006925-RA","ASS1"," Argininosuccinate synthase (Bos taurus)"
"Peer2.0.1.fasta006931-RA","EXOSC2"," Exosome complex component RRP4 (Mus musculus)"
"Peer2.0.1.fasta006932-RA","ZFP36L1"," mRNA decay activator protein ZFP36L1 (Mus musculus)"
"Peer2.0.1.fasta006933-RA","ABL1"," Tyrosine-protein kinase ABL1 (Mus musculus)"
"Peer2.0.1.fasta006934-RA","QRFP"," Orexigenic neuropeptide QRFP (Mus musculus)"
"Peer2.0.1.fasta006927-RA","FUBP3"," Far upstream element-binding protein 3 (Homo sapiens)"
"Peer2.0.1.fasta006929-RA","PRDM12"," PR domain zinc finger protein 12 (Homo sapiens)"
"Peer2.0.1.fasta006930-RA","RPS12"," 40S ribosomal protein S12 (Mus musculus)"
"Peer2.0.1.fasta006928-RA","RPL17"," 60S ribosomal protein L17 (Felis catus)"
"Peer2.0.1.fasta006935-RA","FIBCD1"," Fibrinogen C domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta006936-RA","LAMC3"," Laminin subunit gamma-3 (Mus musculus)"
"Peer2.0.1.fasta006939-RA","LAMC3"," Laminin subunit gamma-3 (Mus musculus)"
"Peer2.0.1.fasta006937-RA","LAMC3"," Laminin subunit gamma-3 (Mus musculus)"
"Peer2.0.1.fasta006938-RA","LAMC3"," Laminin subunit gamma-3 (Mus musculus)"
"Peer2.0.1.fasta006943-RA","PLPP7"," Inactive phospholipid phosphatase 7 (Mus musculus)"
"Peer2.0.1.fasta006942-RA","FAM78A"," Protein FAM78A (Mus musculus)"
"Peer2.0.1.fasta006941-RA","NUP214"," Nuclear pore complex protein Nup214 (Mus musculus)"
"Peer2.0.1.fasta006940-RA","AIF1L"," Allograft inflammatory factor 1-like (Homo sapiens)"
"Peer2.0.1.fasta006944-RA","PRRC2B"," Protein PRRC2B (Homo sapiens)"
"Peer2.0.1.fasta006950-RA","GOLGA2"," Golgin subfamily A member 2 (Mus musculus)"
"Peer2.0.1.fasta006947-RA","SWI5"," DNA repair protein SWI5 homolog (Mus musculus)"
"Peer2.0.1.fasta006945-RA","POMT1"," Protein O-mannosyl-transferase 1 (Rattus norvegicus)"
"Peer2.0.1.fasta006951-RA","GOLGA2"," Golgin subfamily A member 2 (Mus musculus)"
"Peer2.0.1.fasta006946-RA","UCK1"," Uridine-cytidine kinase 1 (Homo sapiens)"
"Peer2.0.1.fasta006949-RA","ATP8B4"," Probable phospholipid-transporting ATPase IM (Homo sapiens)"
"Peer2.0.1.fasta006948-RA",NA,NA
"Peer2.0.1.fasta006952-RA","DNM1"," Dynamin-1 (Mus musculus)"
"Peer2.0.1.fasta006954-RA","UPF0184 PROTEIN C9ORF16 HOMOLOG (BOS TAURUS)",NA
"Peer2.0.1.fasta006953-RA","CIZ1"," Cip1-interacting zinc finger protein (Homo sapiens)"
"Peer2.0.1.fasta006956-RA","PTGES2"," Prostaglandin E synthase 2 (Mus musculus)"
"Peer2.0.1.fasta006955-RA","LCN2"," Neutrophil gelatinase-associated lipocalin (Mus musculus)"
"Peer2.0.1.fasta006961-RA","PIP5KL1"," Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 (Homo sapiens)"
"Peer2.0.1.fasta006959-RA","FAM102A"," Protein FAM102A (Mus musculus)"
"Peer2.0.1.fasta006960-RA","UACA"," Uveal autoantigen with coiled-coil domains and ankyrin repeats (Mus musculus)"
"Peer2.0.1.fasta006958-RA","NAIF1"," Nuclear apoptosis-inducing factor 1 (Homo sapiens)"
"Peer2.0.1.fasta006957-RA","SLC25A25"," Calcium-binding mitochondrial carrier protein SCaMC-2 (Homo sapiens)"
"Peer2.0.1.fasta006964-RA","ENG"," Endoglin (Mus musculus)"
"Peer2.0.1.fasta006962-RA","ST6GALNAC6"," Alpha-N-acetylgalactosaminide alpha-2%2C6-sialyltransferase 6 (Homo sapiens)"
"Peer2.0.1.fasta006963-RA","AK1"," Adenylate kinase isoenzyme 1 (Rattus norvegicus)"
"Peer2.0.1.fasta006971-RA","PTRH1"," Probable peptidyl-tRNA hydrolase (Mus musculus)"
"Peer2.0.1.fasta006972-RA","CFAP157"," Cilia- and flagella-associated protein 157 (Rattus norvegicus)"
"Peer2.0.1.fasta006973-RA","STXBP1"," Syntaxin-binding protein 1 (Bos taurus)"
"Peer2.0.1.fasta006974-RA","NIBAN2"," Protein Niban 2 (Mus musculus)"
"Peer2.0.1.fasta006967-RA","CDK9"," Cyclin-dependent kinase 9 (Homo sapiens)"
"Peer2.0.1.fasta006968-RA","SH2D3C"," SH2 domain-containing protein 3C (Mus musculus)"
"Peer2.0.1.fasta006970-RA","TTC16"," Tetratricopeptide repeat protein 16 (Mus musculus)"
"Peer2.0.1.fasta006969-RA","TOR2A"," Torsin-2A (Mus musculus)"
"Peer2.0.1.fasta006965-RA","FPGS"," Folylpolyglutamate synthase%2C mitochondrial (Cricetulus griseus)"
"Peer2.0.1.fasta006966-RA","FPGS"," Folylpolyglutamate synthase%2C mitochondrial (Cricetulus griseus)"
"Peer2.0.1.fasta006975-RA","RPL12"," 60S ribosomal protein L12 (Rattus norvegicus)"
"Peer2.0.1.fasta006976-RA","SLC2A8"," Solute carrier family 2%2C facilitated glucose transporter member 8 (Rattus norvegicus)"
"Peer2.0.1.fasta006979-RA","RALGPS1"," Ras-specific guanine nucleotide-releasing factor RalGPS1 (Mus musculus)"
"Peer2.0.1.fasta006977-RA","GARNL3"," GTPase-activating Rap/Ran-GAP domain-like protein 3 (Mus musculus)"
"Peer2.0.1.fasta006978-RA","GARNL3"," GTPase-activating Rap/Ran-GAP domain-like protein 3 (Mus musculus)"
"Peer2.0.1.fasta006982-RA","GSE1"," Genetic suppressor element 1 (Homo sapiens)"
"Peer2.0.1.fasta006980-RA","ANGPTL2"," Angiopoietin-related protein 2 (Homo sapiens)"
"Peer2.0.1.fasta006981-RA","RALGPS1"," Ras-specific guanine nucleotide-releasing factor RalGPS1 (Mus musculus)"
"Peer2.0.1.fasta006983-RA","ZBTB34"," Zinc finger and BTB domain-containing protein 34 (Homo sapiens)"
"Peer2.0.1.fasta006984-RA","ZBTB43"," Zinc finger and BTB domain-containing protein 43 (Homo sapiens)"
"Peer2.0.1.fasta006985-RA","LMX1B"," LIM homeobox transcription factor 1-beta (Homo sapiens)"
"Peer2.0.1.fasta006986-RA","MVB12B"," Multivesicular body subunit 12B (Homo sapiens)"
"Peer2.0.1.fasta006988-RA","MAPKAP1"," Target of rapamycin complex 2 subunit MAPKAP1 (Rattus norvegicus)"
"Peer2.0.1.fasta006989-RA","MAPKAP1"," Target of rapamycin complex 2 subunit MAPKAP1 (Rattus norvegicus)"
"Peer2.0.1.fasta006990-RA","MAPKAP1"," Target of rapamycin complex 2 subunit MAPKAP1 (Rattus norvegicus)"
"Peer2.0.1.fasta006987-RA","PBX3"," Pre-B-cell leukemia transcription factor 3 (Mus musculus)"
"Peer2.0.1.fasta006998-RA","CUTA"," Protein CutA (Homo sapiens)"
"Peer2.0.1.fasta006997-RA","PSMD5"," 26S proteasome non-ATPase regulatory subunit 5 (Mus musculus)"
"Peer2.0.1.fasta006999-RA","PHF19"," PHD finger protein 19 (Homo sapiens)"
"Peer2.0.1.fasta007000-RA","PHF19"," PHD finger protein 19 (Homo sapiens)"
"Peer2.0.1.fasta007001-RA","TRAF1"," TNF receptor-associated factor 1 (Mus musculus)"
"Peer2.0.1.fasta006992-RA","HSPA5"," Endoplasmic reticulum chaperone BiP (Bos taurus)"
"Peer2.0.1.fasta006994-RA","FBXW2"," F-box/WD repeat-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta006995-RA","GDF6"," Growth/differentiation factor 6 (Mus musculus)"
"Peer2.0.1.fasta006993-RA","RABEPK"," Rab9 effector protein with kelch motifs (Homo sapiens)"
"Peer2.0.1.fasta006996-RA","PUTATIVE UDP-GLCNAC","betaGal beta-1%2C3-N-acetylglucosaminyltransferase LOC100288842 (Homo sapiens)"
"Peer2.0.1.fasta007004-RA","C5"," Complement C5 (Fragment) (Rattus norvegicus)"
"Peer2.0.1.fasta006991-RA","GAPVD1"," GTPase-activating protein and VPS9 domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007002-RA","C5"," Complement C5 (Mus musculus)"
"Peer2.0.1.fasta007003-RA","C5"," Complement C5 (Mus musculus)"
"Peer2.0.1.fasta007005-RA","CNTRL"," Centriolin (Mus musculus)"
"Peer2.0.1.fasta007006-RA","RAB14"," Ras-related protein Rab-14 (Mus musculus)"
"Peer2.0.1.fasta007010-RA","GGTA1L1"," N-acetyllactosaminide alpha-1%2C3-galactosyltransferase-like 1 (Mus musculus)"
"Peer2.0.1.fasta007008-RA","GSN"," Gelsolin (Homo sapiens)"
"Peer2.0.1.fasta007009-RA","STOM"," Erythrocyte band 7 integral membrane protein (Mus musculus)"
"Peer2.0.1.fasta007007-RA","GSN"," Gelsolin (Homo sapiens)"
"Peer2.0.1.fasta007011-RA","GGTA1"," N-acetyllactosaminide alpha-1%2C3-galactosyltransferase (Felis catus)"
"Peer2.0.1.fasta007012-RA","GGTA1"," N-acetyllactosaminide alpha-1%2C3-galactosyltransferase (Rattus norvegicus)"
"Peer2.0.1.fasta007013-RA","CALCOCO1"," Calcium-binding and coiled-coil domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007014-RA","RAB11FIP2"," Rab11 family-interacting protein 2 (Homo sapiens)"
"Peer2.0.1.fasta007017-RA","TTLL11"," Tubulin polyglutamylase TTLL11 (Mus musculus)"
"Peer2.0.1.fasta007018-RA",NA,NA
"Peer2.0.1.fasta007019-RA","NDUFA8"," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Mus musculus)"
"Peer2.0.1.fasta007021-RA","LHX6"," LIM/homeobox protein Lhx6 (Mus musculus)"
"Peer2.0.1.fasta007022-RA","RBM18"," Probable RNA-binding protein 18 (Homo sapiens)"
"Peer2.0.1.fasta007020-RA","MORN5"," MORN repeat-containing protein 5 (Mus musculus)"
"Peer2.0.1.fasta007023-RA","MRRF"," Ribosome-recycling factor%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta007024-RA","PTGS1"," Prostaglandin G/H synthase 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007025-RA","RPS17"," 40S ribosomal protein S17 (Homo sapiens)"
"Peer2.0.1.fasta007015-RA","DAB2IP"," Disabled homolog 2-interacting protein (Homo sapiens)"
"Peer2.0.1.fasta007016-RA","TTLL11"," Tubulin polyglutamylase TTLL11 (Homo sapiens)"
"Peer2.0.1.fasta007030-RA","OLFR3"," Olfactory receptor 3 (Mus musculus)"
"Peer2.0.1.fasta007028-RA","OLFR50"," Olfactory receptor 50 (Mus musculus)"
"Peer2.0.1.fasta007029-RA","RPL23"," 60S ribosomal protein L23 (Rattus norvegicus)"
"Peer2.0.1.fasta007031-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta007032-RA","OR1J2"," Olfactory receptor 1J2 (Homo sapiens)"
"Peer2.0.1.fasta007027-RA","OR1J2"," Olfactory receptor 1J2 (Homo sapiens)"
"Peer2.0.1.fasta007026-RA","OR1J2"," Olfactory receptor 1J2 (Homo sapiens)"
"Peer2.0.1.fasta007039-RA","OR1L6"," Olfactory receptor 1L6 (Homo sapiens)"
"Peer2.0.1.fasta007040-RA","OR1G1"," Olfactory receptor 1G1 (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta007042-RA","PDCL"," Phosducin-like protein (Homo sapiens)"
"Peer2.0.1.fasta007041-RA","OR5C1"," Olfactory receptor 5C1 (Homo sapiens)"
"Peer2.0.1.fasta007047-RA","GPR21"," Probable G-protein coupled receptor 21 (Mus musculus)"
"Peer2.0.1.fasta007046-RA","RABGAP1"," Rab GTPase-activating protein 1 (Pongo abelii)"
"Peer2.0.1.fasta007050-RA","DCN"," Decorin (Sus scrofa)"
"Peer2.0.1.fasta007049-RA","RABGAP1"," Rab GTPase-activating protein 1 (Pongo abelii)"
"Peer2.0.1.fasta007048-RA","UACA"," Uveal autoantigen with coiled-coil domains and ankyrin repeats (Canis lupus familiaris)"
"Peer2.0.1.fasta007051-RA","STRBP"," Spermatid perinuclear RNA-binding protein (Pongo abelii)"
"Peer2.0.1.fasta007033-RA","OR1N2"," Olfactory receptor 1N2 (Homo sapiens)"
"Peer2.0.1.fasta007035-RA","OLFR24"," Olfactory receptor 24 (Mus musculus)"
"Peer2.0.1.fasta007036-RA","OR1Q1"," Olfactory receptor 1Q1 (Homo sapiens)"
"Peer2.0.1.fasta007038-RA","OR1B1"," Olfactory receptor 1B1 (Homo sapiens)"
"Peer2.0.1.fasta007037-RA","OR5V1"," Olfactory receptor 5V1 (Homo sapiens)"
"Peer2.0.1.fasta007034-RA","OR1L8"," Olfactory receptor 1L8 (Homo sapiens)"
"Peer2.0.1.fasta007053-RA","STRBP"," Spermatid perinuclear RNA-binding protein (Pongo abelii)"
"Peer2.0.1.fasta007054-RA","STRBP"," Spermatid perinuclear RNA-binding protein (Pongo abelii)"
"Peer2.0.1.fasta007052-RA","STRBP"," Spermatid perinuclear RNA-binding protein (Pongo abelii)"
"Peer2.0.1.fasta007055-RA","CRB2"," Protein crumbs homolog 2 (Mus musculus)"
"Peer2.0.1.fasta007057-RA","ANAPC15"," Anaphase-promoting complex subunit 15 (Mus musculus)"
"Peer2.0.1.fasta007056-RA","DENND1A"," DENN domain-containing protein 1A (Mus musculus)"
"Peer2.0.1.fasta007059-RA","UST"," Uronyl 2-sulfotransferase (Mus musculus)"
"Peer2.0.1.fasta007045-RA","OR10Z1"," Olfactory receptor 10Z1 (Homo sapiens)"
"Peer2.0.1.fasta007043-RA","RC3H2"," Roquin-2 (Homo sapiens)"
"Peer2.0.1.fasta007044-RA","ZBTB6"," Zinc finger and BTB domain-containing protein 6 (Homo sapiens)"
"Peer2.0.1.fasta007061-RA","PSMB7"," Proteasome subunit beta type-7 (Sus scrofa)"
"Peer2.0.1.fasta007060-RA","NEK6"," Serine/threonine-protein kinase Nek6 (Homo sapiens)"
"Peer2.0.1.fasta007063-RA","ADGRD2"," Adhesion G-protein coupled receptor D2 (Homo sapiens)"
"Peer2.0.1.fasta007062-RA","SSR4"," Translocon-associated protein subunit delta (Rattus norvegicus)"
"Peer2.0.1.fasta007058-RA","LHX2"," LIM/homeobox protein Lhx2 (Rattus norvegicus)"
"Peer2.0.1.fasta007069-RA","GOLGA2"," Golgin subfamily A member 2 (Mus musculus)"
"Peer2.0.1.fasta007068-RA","OLFML2A"," Olfactomedin-like protein 2A (Mus musculus)"
"Peer2.0.1.fasta007064-RA","NR5A1"," Steroidogenic factor 1 (Mus musculus)"
"Peer2.0.1.fasta007065-RA","NR6A1"," Nuclear receptor subfamily 6 group A member 1 (Mus musculus)"
"Peer2.0.1.fasta007067-RA","HSPE1"," 10 kDa heat shock protein%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta007066-RA","CBLIF"," Cobalamin binding intrinsic factor (Canis lupus familiaris)"
"Peer2.0.1.fasta007072-RA","ARPC5L"," Actin-related protein 2/3 complex subunit 5-like protein (Homo sapiens)"
"Peer2.0.1.fasta007071-RA","RPL35"," 60S ribosomal protein L35 (Rattus norvegicus)"
"Peer2.0.1.fasta007070-RA","WDR38"," WD repeat-containing protein 38 (Mus musculus)"
"Peer2.0.1.fasta007074-RA","COX7C"," Cytochrome c oxidase subunit 7C%2C mitochondrial (Tarsius syrichta)"
"Peer2.0.1.fasta007073-RA","GOLGA1"," Golgin subfamily A member 1 (Mus musculus)"
"Peer2.0.1.fasta007076-RA","SCAI"," Protein SCAI (Homo sapiens)"
"Peer2.0.1.fasta007075-RA","GOLGA1"," Golgin subfamily A member 1 (Homo sapiens)"
"Peer2.0.1.fasta007080-RA","LLPA"," Late lactation protein A (Macropus eugenii)"
"Peer2.0.1.fasta007081-RA","TDG"," G/T mismatch-specific thymine DNA glycosylase (Mus musculus)"
"Peer2.0.1.fasta007082-RA","ABO"," Histo-blood group ABO system transferase 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007084-RA","VEGP1"," von Ebner gland protein 1 (Rattus norvegicus)"
